BOLSA_CODE	FAMILY	GENUS	SPECIES	lat_dec	long_dec	ZONA																
BancoADN20821	EUPHORBIACEAE	Ricinus	communis	27.924738	-15.800375	CANARIAS																
BancoADN20822	EUPHORBIACEAE	Ricinus	communis	27.924738	-15.800375	CANARIAS																
A.Sanchez1	EUPHORBIACEAE	Ricinus	communis	33.804972	-7.172167	Marruecos																
BancoADN20808	EUPHORBIACEAE	Ricinus	communis	27.992418	-15.707363	CANARIAS																
BancoADN20809	EUPHORBIACEAE	Ricinus	communis	27.992418	-15.707363	CANARIAS																
BancoADN20810	EUPHORBIACEAE	Ricinus	communis	27.992418	-15.707363	CANARIAS																
BCN144518	EUPHORBIACEAE	Ricinus	communis	36.754722	-3.654722	Granada																
BCN144520	EUPHORBIACEAE	Ricinus	communis	36.81222	-4.441389	Malaga																
BCN144519	EUPHORBIACEAE	Ricinus	communis	36.495000	-4.99333	Malaga																
P.Barbera2272PB	EUPHORBIACEAE	Ricinus	communis	36.3667	-5.8667	Cadiz																
A.Sanchez2	EUPHORBIACEAE	Ricinus	communis	32.787278	-8.965944	Marruecos																
A.Sanchez3	EUPHORBIACEAE	Ricinus	communis	35.703739	-5.730972	Marruecos																
3TVH18	EUPHORBIACEAE	Ricinus	communis	36.629852	-4.495202	Malaga																
2TVH18	EUPHORBIACEAE	Ricinus	communis	36.616236	-4.498982	Malaga																
1TVH18	EUPHORBIACEAE	Ricinus	communis	28.317357	-14.031282	CANARIAS																
