species;state Africa/no-Africa
C105;1
C190;1
C109;1
C189;1
C136;2
C69;2
C259;2
C85;2
C130;2
C179;2
C128;1
C257;1
C317;1
C266;1
C316;1
C86;1
C92;1
C119;2
C186;2
C122;1
C174;2
C132;0
C177;2
C182;2
C73;2
C13;0
C134;2
C173;0
C181;2
C133;0
C5;2
C282;2
C169;1
C170;1
C108;2
C114;2
C147;2
C60;2
C148;2
C196;2
C213;1
C220;1
C224;1
C233;1
C58;2
C61;2
C195;2
C305;2
C44;2
C167;1
C171;1
C301;2
C299;2
C303;2
C284;2
C203;2
C300;2
C307;0
C302;2
C311;2
C306;2
C3;1
C273;1
C274;2
C256;2
C23;2
C101;2
C107;2
C77;2
C91;2
C74;2
C81;2
C138;2
C59;2
C37;2
C39;2
C7;0
C251;2
C208;2
C19;2
C4;1
C104;2
C243;2
C144;2
C157;2
C143;2
C145;2
C18;2
C106;2
C84;2
C175;1
C80;1
C202;0
C275;1
C98;2
C165;2
C204;2
C72;2
C178;2
C22;2
C47;2
C21;2
C99;2
C96;2
C1;1
C6;0
C314;1
C71;2
C26;1
C29;1
C116;1
C199;2
C88;2
